longitude,latitude,trace_type,distance,cumulative_distance,curvature
-90.13441342861839,38.648881722278915,racing_line,0.0,0.0,0.0
-90.1344215081594,38.64891524801298,racing_line,3.448555970065592e-05,3.448555970065592e-05,0.001154284593829047
-90.1344295926052,38.64894862490351,racing_line,3.4342030882402664e-05,6.882759058305858e-05,0.003406935589562732
-90.13443779719034,38.64898200039108,racing_line,3.4369148778944e-05,0.00010319673936200259,0.0057130773736593365
-90.1344462025098,38.64901536892435,racing_line,3.4410876305141316e-05,0.0001376076156671439,0.0071981954254305425
-90.13445485479718,38.649048703037884,racing_line,3.443871661083097e-05,0.00017204633227797488,0.003886868998645987
-90.13446363792842,38.64908200836659,racing_line,3.4443988075568686e-05,0.00020649032035354356,0.002480458725610646
-90.13447233677938,38.649115329093796,racing_line,3.4437492207341016e-05,0.00024092781256088456,0.0036293056374332444
-90.13448090943018,38.64914866090706,racing_line,3.441656748048237e-05,0.00027534438004136693,0.005801278591440084
-90.13448928541865,38.649182029334405,racing_line,3.4403620832737625e-05,0.00030974800087410454,0.008100541723517374
-90.13449739355266,38.64921547573527,racing_line,3.4415164794627795e-05,0.00034416316566873235,0.006802542053903515
-90.13450527818677,38.64924899440011,racing_line,3.4433535220094556e-05,0.0003785967008888269,0.005336099466194177
-90.13451298456769,38.64928255778417,racing_line,3.443673992128312e-05,0.00041303344081011,0.004767620437297726
-90.1345205299786,38.649316153673816,racing_line,3.4432789996951094e-05,0.0004474662308070611,0.0034986707579771625
-90.13452795636732,38.64934976925984,racing_line,3.442613648586424e-05,0.00048189236729292534,0.003913927476758117
-90.13453525310055,38.64938342274066,racing_line,3.443543359859119e-05,0.0005163278008915165,0.003876932092253371
-90.13454242134775,38.64941711384898,racing_line,3.4445239841376834e-05,0.0005507730407328934,0.0030338775708478316
-90.1345494867235,38.64945082357306,racing_line,3.444219842029442e-05,0.0005852152391531877,0.003294129841383775
-90.13455644344634,38.64948456817277,racing_line,3.4454230537573765e-05,0.0006196694696907615,0.0024823945006056114
-90.13456332051224,38.64951835023444,racing_line,3.447494345338923e-05,0.0006541444131441508,0.0007734563443262399
-90.13457017283474,38.649552144448485,racing_line,3.4481926087927885e-05,0.0006886263392320786,0.002700198105931806
-90.1345771162006,38.64958591914841,racing_line,3.448101918898119e-05,0.0007231073584210598,0.009574254890365896
-90.1345843805449,38.64961961624034,racing_line,3.4471215563993965e-05,0.0007575785739850538,0.016350791867537184
-90.13459219443455,38.649653188194264,racing_line,3.44693046353419e-05,0.0007920478786203957,0.025639096852956955
-90.13460087324843,38.64968657507786,racing_line,3.449646078288743e-05,0.0008265443394032831,0.04360070640546709
-90.13461093513756,38.64971934382127,racing_line,3.427874206352774e-05,0.0008608230814668108,0.06046468057867638
