longitude,latitude,trace_type
-10033720.472307047,4671519.2395743895,racing_line
-10033720.5229231,4671519.475258574,racing_line
-10033720.573676832,4671519.7108539855,racing_line
-10033720.624476198,4671519.9464091435,racing_line
-10033720.675215855,4671520.181970049,racing_line
-10033720.725720467,4671520.417593887,racing_line
-10033720.776301662,4671520.653227638,racing_line
-10033720.82699969,4671520.888871674,racing_line
-10033720.877825148,4671521.124530178,racing_line
-10033720.928757887,4671521.360212183,racing_line
-10033720.97974843,4671521.595931834,racing_line
-10033721.030717451,4671521.831708883,racing_line
-10033721.081579465,4671522.067563606,racing_line
-10033721.132225268,4671522.303520761,racing_line
-10033721.182549676,4671522.539603412,racing_line
-10033721.232458627,4671522.775831391,racing_line
-10033721.282141063,4671523.012163239,racing_line
-10033721.331860617,4671523.248541199,racing_line
-10033721.381606143,4671523.484966601,racing_line
-10033721.431362879,4671523.721442224,racing_line
-10033721.481117902,4671523.957971159,racing_line
-10033721.53086586,4671524.194555307,racing_line
-10033721.58061339,4671524.43119378,racing_line
-10033721.630380837,4671524.667881711,racing_line
-10033721.680200461,4671524.904609699,racing_line
-10033721.730111137,4671525.141364155,racing_line
-10033721.780150615,4671525.37812849,racing_line
-10033721.830346867,4671525.6148850005,racing_line
-10033721.880711053,4671525.851617033,racing_line
-10033721.930847086,4671526.088391126,racing_line
-10033721.980436714,4671526.325258419,racing_line
-10033722.029566513,4671526.5621885415,racing_line
-10033722.078471292,4671526.799124338,racing_line
-10033722.127310771,4671527.036027243,racing_line
-10033722.176126882,4671527.272885857,racing_line
-10033722.224952642,4671527.509693693,racing_line
-10033722.273809265,4671527.746449141,racing_line
-10033722.322705468,4671527.983154811,racing_line
-10033722.371714931,4671528.219801031,racing_line
-10033722.420996085,4671528.456361089,racing_line
-10033722.470553957,4671528.692838871,racing_line
-10033722.520183697,4671528.929282419,racing_line
-10033722.569698695,4671529.165734664,racing_line
-10033722.61910674,4671529.4021956045,racing_line
-10033722.668410234,4671529.638665769,racing_line
-10033722.717606682,4671529.875146581,racing_line
-10033722.766690377,4671530.111640438,racing_line
-10033722.815654654,4671530.348150529,racing_line
-10033722.864494745,4671530.584680387,racing_line
-10033722.91321054,4671530.821233214,racing_line
-10033722.961808857,4671531.057811105,racing_line
-10033723.010304784,4671531.294414249,racing_line
-10033723.058721624,4671531.5310403025,racing_line
-10033723.10708929,4671531.767684019,racing_line
-10033723.155441297,4671532.004337277,racing_line
-10033723.20377763,4671532.240996813,racing_line
-10033723.251934879,4671532.477691478,racing_line
-10033723.299889743,4671532.7144168485,racing_line
-10033723.347630177,4671532.951164473,racing_line
-10033723.39515806,4671533.187922217,racing_line
-10033723.442490336,4671533.424675094,racing_line
-10033723.489755608,4671533.661387583,racing_line
