latitude,longitude
38.648874818391135,-90.134458641026
38.64887651277892,-90.13445921748726
38.64887824411577,-90.13445977295736
38.648880014198376,-90.13446030428516
38.64888182284541,-90.13446080924837
38.64888366760017,-90.1344612868557
38.648885543614654,-90.13446173755524
38.6488874437669,-90.13446216331002
38.64888935904102,-90.13446256751376
38.648891279160985,-90.1344629547399
38.64889319341904,-90.13446333034636
38.648895091589914,-90.13446369998812
38.64889696479491,-90.13446406911012
38.648898806190715,-90.13446444249298
38.648900611400336,-90.13446482390694
38.64890237865763,-90.13446521590278
38.64890410868424,-90.13446561974509
38.648905804349944,-90.134466035473
38.64890747018452,-90.13446646206332
38.64890911181324,-90.13446689766327
38.64891073538264,-90.1344673398612
38.648912347031306,-90.13446778596492
38.64891395244584,-90.13446823326352
38.64891555652554,-90.13446867925389
38.64891716316536,-90.13446912182008
38.64891877515342,-90.1344695593598
38.64892039417047,-90.13446999085645
38.648922020872256,-90.1344704158996
38.64892365503291,-90.1344708346596
38.648925295727125,-90.13447124782262
38.64892694153072,-90.13447165649444
38.64892859072227,-90.13447206208151
38.648930241472314,-90.13447246615743
38.64893189201008,-90.134472870325
38.64893354076087,-90.13447327608375
38.64893518644946,-90.13447368471434
38.64893682816649,-90.13447409719105
38.648938465397535,-90.13447451413128
38.64894009801681,-90.13447493578572
38.64894172625118,-90.13447536206702
38.64894335062165,-90.13447579260904
38.64894497187069,-90.13447622684583
38.64894659088336,-90.13447666409796
38.64894820860908,-90.13447710365472
38.648949825989575,-90.13447754484342
38.648951443897445,-90.1344779870792
38.64895306308822,-90.13447842989471
38.64895468416794,-90.13447887295038
38.6489563075764,-90.13447931602896
38.648957933584974,-90.13447975901865
38.6489595623064,-90.1344802018883
38.64896119371324,-90.1344806446583
38.64896282766146,-90.13448108737002
38.64896446391593,-90.13448153005618
38.648966102175336,-90.1344819727145
38.64896774209459,-90.1344824152863
38.64896938330414,-90.1344828576419
38.64897102542602,-90.13448329957392
38.64897266808735,-90.13448374079952
38.64897431093229,-90.13448418097197
38.64897595363354,-90.13448461970124
38.64897759590432,-90.134485056583
38.648979237511256,-90.1344854912334
38.648980878287944,-90.134485923328
38.64898251814832,-90.13448635264008
38.648984157098035,-90.13448677907483
38.64898579524176,-90.1344872026944
38.648987432784054,-90.1344876237293
38.6489890700216,-90.13448804257315
38.64899070732596,-90.1344884597587
38.64899234511725,-90.13448887591689
38.64899398383144,-90.13448929172364
38.648995623885426,-90.13448970784154
38.64899726564467,-90.13449012486468
38.64899890939738,-90.1344905432736
38.649000555338,-90.1344909634052
38.649002203560784,-90.13449138543912
38.64900385406288,-90.1344918093998
38.64900550675525,-90.13449223517225
38.6490071614791,-90.13449266252704
38.64900881802518,-90.13449309115111
38.6490104761538,-90.13449352068004
38.64901213561333,-90.13449395072875
38.64901379615611,-90.13449438091824
38.649015457550696,-90.1344948108965
38.64901711959047,-90.1344952403536
38.64901878209886,-90.13449566903084
38.64902044493182,-90.1344960967248
38.64902210797843,-90.13449652328798
38.64902377116056,-90.13449694862692
38.64902543443236,-90.1344973726994
38.64902709778025,-90.13449779551156
38.64902876122349,-90.1344982171158
38.64903042481551,-90.13449863760954
38.64903208864528,-90.13449905713422
38.64903375283828,-90.13449947587436
38.6490354175559,-90.13449989405498
38.64903708299245,-90.13450031193685
38.64903874936881,-90.13450072980784
38.649040416922055,-90.13450114797018
38.649042085890954,-90.13450156672268
38.64904375649762,-90.13450198633888
38.64904542892641,-90.13450240704208
38.649047103301776,-90.13450282897922
38.649048779667595,-90.13450325219686
38.64905045797066,-90.13450367662222
38.64905213805138,-90.13450410205328
38.649053819644514,-90.13450452816087
38.649055502391505,-90.13450495450508
38.6490571858647,-90.1345053805658
38.64905886960129,-90.1345058057848
38.64906055314264,-90.13450622961426
38.64906223607306,-90.13450665156373
38.64906391805267,-90.13450707123974
38.64906559884044,-90.13450748837272
38.64906727830555,-90.13450790282964
38.64906895642788,-90.1345083146127
38.64907063328885,-90.13450872384664
38.64907230905541,-90.13450913075752
38.64907398395965,-90.1345095356466
38.64907565827663,-90.13450993886228
38.649077332302305,-90.13451034077264
38.64907900633316,-90.1345107417407
38.64908068064839,-90.1345111421034
38.64908235549498,-90.13451154215451
38.6490840310759,-90.13451194213212
38.64908570754108,-90.13451234220962
38.64908738498118,-90.13451274249068
38.64908906342385,-90.13451314300706
38.64909074283276,-90.13451354371978
38.64909242310944,-90.13451394452316
38.64909410409853,-90.13451434525228
38.649095785596565,-90.13451474569392
38.64909746736471,-90.13451514560096
38.649099149144966,-90.13451554471015
38.64910083067889,-90.13451594276174
38.64910251172717,-90.13451633951946
38.64910419208788,-90.13451673478896
38.64910587161158,-90.13451712843214
38.64910755021173,-90.13451752037692
38.64910922786987,-90.13451791062114
38.64911090463509,-90.1345182992307
38.64911258061816,-90.13451868633256
38.64911425598073,-90.13451907210283
38.64911593092055,-90.13451945675126
38.64911760565415,-90.1345198405034
38.64911928039864,-90.13452022358244
38.64912095535482,-90.13452060619257
38.64912263069293,-90.13452098850529
38.64912430654247,-90.13452137065003
38.649125982986,-90.1345217527088
38.64912766005688,-90.13452213471494
