t,seconds_elapsed,tone_hz,rpm_est
1782421420000309000,0.0,35.15625,4218.75
1782421420010309000,0.01,35.15625,4218.75
1782421420020309000,0.02,35.15625,4218.75
1782421420030309000,0.03,35.15625,4218.75
1782421420040309000,0.04,35.15625,4218.75
1782421420050309000,0.05,35.15625,4218.75
1782421420060309000,0.06,35.15625,4218.75
1782421420070309000,0.07,35.15625,4218.75
1782421420080309000,0.08,35.15625,4218.75
1782421420090309000,0.09,35.15625,4218.75
1782421420100309000,0.1,35.15625,4218.75
1782421420110309000,0.11,35.15625,4218.75
1782421420120309000,0.12,35.15625,4218.75
1782421420130309000,0.13,35.313660018658254,4237.639202238991
1782421420140309000,0.14,36.227210789324175,4347.265294718901
1782421420150309000,0.15,37.140761559990096,4456.891387198812
1782421420160309000,0.16,38.05431233065602,4566.517479678721
1782421420170309000,0.17,38.96786310132194,4676.143572158632
1782421420180309000,0.18,39.88141387198785,4785.769664638542
1782421420190309000,0.19,40.794964642653774,4895.395757118453
1782421420200309000,0.2,41.708515413319695,5005.021849598364
1782421420210309000,0.21,42.62206618398561,5114.647942078273
1782421420220309000,0.22,43.53561695465153,5224.274034558184
1782421420230309000,0.23,44.44916772531745,5333.900127038094
1782421420240309000,0.24,45.36271849598337,5443.526219518005
1782421420250309000,0.25,46.276269266649294,5553.152311997915
1782421420260309000,0.26,46.875,5625.0
1782421420270309000,0.27,46.875,5625.0
1782421420280309000,0.28,46.875,5625.0
1782421420290309000,0.29,46.875,5625.0
1782421420300309000,0.3,46.875,5625.0
1782421420310309000,0.31,46.875,5625.0
1782421420320309000,0.32,46.875,5625.0
1782421420330309000,0.33,46.875,5625.0
1782421420340309000,0.34,46.875,5625.0
1782421420350309000,0.35,46.875,5625.0
1782421420360309000,0.36,46.875,5625.0
1782421420370309000,0.37,46.875,5625.0
1782421420380309000,0.38,46.875,5625.0
1782421420390309000,0.39,46.875,5625.0
1782421420400309000,0.4,46.875,5625.0
1782421420410309000,0.41,46.875,5625.0
1782421420420309000,0.42,46.875,5625.0
1782421420430309000,0.43,46.875,5625.0
1782421420440309000,0.44,46.875,5625.0
1782421420450309000,0.45,46.875,5625.0
1782421420460309000,0.46,46.875,5625.0
1782421420470309000,0.47,46.875,5625.0
