t,seconds_elapsed,E,N,lat,lon,speed,heading_deg,yaw_rate
1782421420000309000,0.0,1.3600064828262308,0.0515568530401069,38.648677214031636,-90.13546832711808,1.189423490940139,-159.08262700459858,0.0842879294085455
1782421420010309000,0.01,1.303374346751062,0.02991146514888411,38.648677019369984,-90.13546897924542,1.2018120954302438,-159.02099755324733,0.13840067073342704
1782421420020309000,0.02,1.2468876670875477,0.00818216520150336,38.64867682395369,-90.13546962969781,1.2142006999203485,-158.89747577530525,0.20305548439366536
1782421420030309000,0.03,1.1905463843522355,-0.013630933136362168,38.64867662778379,-90.13547027847592,1.226589304410453,-158.77364331140063,0.2081505675106225
1782421420040309000,0.04,1.1343504390616743,-0.035527716199039286,38.648676430861286,-90.13547092558046,1.2389779089005577,-158.64949978126123,0.21748635710532835
1782421420050309000,0.05,1.0782997717324103,-0.05750807032085479,38.64867623318722,-90.1354715710121,1.2513665133906624,-158.52504481181785,0.2547567021576089
1782421420060309000,0.06,1.0223943228809933,-0.07957188183613549,38.64867603476259,-90.13547221477154,1.263755117880767,-158.4002780373075,0.16060023403145787
1782421420070309000,0.07,0.9666340330239709,-0.10171903707920825,38.64867583558844,-90.13547285685944,1.2761437223708716,-158.27519909937726,0.04054708737073012
1782421420080309000,0.08,0.9110188426778901,-0.1239494223843998,38.64867563566578,-90.1354734972765,1.2885323268609763,-158.14980764718763,-0.0782524114556198
1782421420090309000,0.09,0.8555486923592998,-0.14626292408603697,38.64867543499564,-90.13547413602339,1.300920931351081,-158.02410333751683,-0.1542090428247554
1782421420100309000,0.1,0.8002235225847467,-0.16865942851844665,38.648675233579034,-90.13547477310082,1.3133095358411857,-157.89808583486638,-0.2774380576952914
1782421420110309000,0.11,0.7450432738707798,-0.19113882201595553,38.64867503141699,-90.13547540850946,1.3256981403312904,-157.77175481156615,-0.25558431275305704
1782421420120309000,0.12,0.6900078867339466,-0.2137009909128905,38.648674828510536,-90.13547604225002,1.338086744821395,-157.64510994788108,-0.22540610963458607
1782421420130309000,0.13,0.6351173016907947,-0.23634582154357836,38.64867462486068,-90.13547667432313,1.3504753493114996,-157.51815093211673,-0.17513126990219702
1782421420140309000,0.14,0.5803714592578725,-0.2590732002423459,38.64867442046845,-90.13547730472953,1.3628639538016043,-157.39087746072707,-0.13554503747976446
1782421420150309000,0.15,0.525770299951728,-0.28188301334352,38.64867421533487,-90.13547793346987,1.375252558291709,-157.26328923842212,-0.08054545878210222
1782421420160309000,0.16,0.4713137642889089,-0.3047751471814274,38.64867400946097,-90.13547856054485,1.3876411627818135,-157.13538597827537,0.024194122388183383
1782421420170309000,0.17,0.4170017927859632,-0.32774948809039495,38.64867380284776,-90.13547918595516,1.4000297672719182,-157.0071674018327,0.03107739031710294
1782421420180309000,0.18,0.36283432595943854,-0.35080592240474934,38.64867359549626,-90.13547980970147,1.412418371762023,-156.87863323922093,0.10717864019029183
1782421420190309000,0.19,0.30881130432588316,-0.37394433645881753,38.648673387407506,-90.13548043178447,1.4248069762521276,-156.74978322925753,0.15345988673294864
1782421420200309000,0.2,0.25493266840184464,-0.3971646165869265,38.648673178582506,-90.13548105220485,1.4371955807422323,-156.62061711956065,0.28875043231823694
1782421420210309000,0.21,0.2011983587038708,-0.4204666491234024,38.64867296902229,-90.1354816709633,1.4495841852323368,-156.4911346666582,0.2545993340892757
1782421420220309000,0.22,0.1476083157485101,-0.44385032040257283,38.64867275872789,-90.13548228806049,1.4619727897224415,-156.3613356360996,0.18673924211219003
1782421420230309000,0.23,0.0941624800523102,-0.46731551675876415,38.64867254770031,-90.1354829034971,1.4743613942125462,-156.2312198025667,0.10942271356341363
1782421420240309000,0.24,0.04086079213181919,-0.49086212452630323,38.648672335940574,-90.13548351727385,1.486749998702651,-156.10078694998435,0.04929841202357333
1782421420250309000,0.25,-0.012296807496415721,-0.5144900300395171,38.648672123449714,-90.1354841293914,1.4991386031927556,-155.97003687163283,-0.05841453324882214
