lap,lap_valid,sectors_valid,lap_time,sector_1,sector_2,sector_3
1,True,True,42.45,20.964,14.696,6.79
2,True,True,41.136,19.727,15.745,5.665
3,True,True,49.209,28.012,14.548,6.648
4,True,True,41.834,20.492,14.377,6.965
5,True,True,41.564,19.509,15.063,6.992
6,True,True,42.189,20.127,15.723,6.339
7,True,True,41.056,19.66,14.726,6.67
8,True,True,40.968,19.688,14.756,6.524
9,True,True,42.535,20.633,15.354,6.547
10,True,True,42.583,21.018,14.979,6.586
11,True,True,40.519,19.262,14.995,6.262
12,True,True,53.899,19.587,26.295,8.017
13,True,True,41.6,19.694,15.316,6.59
14,True,True,46.75,23.796,16.414,6.539
