lap,t_start_ns,t_end_ns,lap_time_s,sheet_lap_time_s,abs_err_s,is_flyer,validated
1,1782421465503850240,1782421508243205376,42.739,42.45,0.289,True,True
2,1782421508243205376,1782421548920210176,40.677,41.136,0.459,True,True
3,1782421548920210176,1782421598774565888,49.854,49.209,0.645,True,True
4,1782421598774565888,1782421640583705088,41.809,41.834,0.025,True,True
5,1782421640583705088,1782421681910592768,41.327,41.564,0.237,True,True
6,1782421681910592768,1782421723967369216,42.057,42.189,0.132,True,True
7,1782421723967369216,1782421765122277376,41.155,41.056,0.099,True,True
8,1782421765122277376,1782421806135330304,41.013,40.968,0.045,True,True
9,1782421806135330304,1782421848577861376,42.443,42.535,0.092,True,True
10,1782421848577861376,1782421891326934528,42.749,42.583,0.166,True,True
11,1782421891326934528,1782421932065510144,40.739,40.519,0.22,True,True
12,1782421932065510144,1782421985691401984,53.626,53.899,0.273,True,True
13,1782421985691401984,1782422027143242240,41.452,41.6,0.148,True,True
14,1782422027143242240,1782422074230768640,47.088,46.75,0.338,True,True
