t,seconds_elapsed,tone_hz,rpm_est
1782422516099623400,1.1,39.0625,4687.5
1782422516109623400,1.11,39.0625,4687.5
1782422516119623400,1.12,39.0625,4687.5
1782422516129623400,1.13,39.0625,4687.5
1782422516139623400,1.14,39.0625,4687.5
1782422516149623400,1.15,39.0625,4687.5
1782422516159623400,1.16,39.0625,4687.5
1782422516169623400,1.17,39.0625,4687.5
1782422516179623400,1.18,39.0625,4687.5
1782422516189623400,1.19,39.0625,4687.5
1782422516199623400,1.2,39.0625,4687.5
1782422516209623400,1.21,39.0625,4687.5
1782422516219623400,1.22,39.0625,4687.5
1782422516229623400,1.23,39.0625,4687.5
1782422516239623400,1.24,39.0625,4687.5
1782422516249623400,1.25,39.0625,4687.5
1782422516259623400,1.26,39.0625,4687.5
1782422516269623400,1.27,39.0625,4687.5
1782422516279623400,1.28,39.0625,4687.5
1782422516289623400,1.29,39.2826831386393,4713.921976636716
1782422516299623400,1.3,39.58720006219459,4750.464007463351
1782422516309623400,1.31,39.89171698574988,4787.006038289986
1782422516319623400,1.32,40.19623390930517,4823.54806911662
1782422516329623400,1.33,40.50075083286046,4860.090099943255
1782422516339623400,1.34,40.80526775641575,4896.63213076989
1782422516349623400,1.35,41.10978467997104,4933.174161596525
1782422516359623400,1.36,41.41430160352633,4969.71619242316
1782422516369623400,1.37,41.71881852708162,5006.258223249794
1782422516379623400,1.38,42.0233354506369,5042.800254076428
1782422516389623400,1.39,42.32785237419219,5079.342284903063
1782422516399623400,1.4,42.63236929774748,5115.884315729698
1782422516409623400,1.41,42.93688622130277,5152.426346556333
1782422516419623400,1.42,42.96875,5156.25
1782422516429623400,1.43,42.96875,5156.25
1782422516439623400,1.44,42.96875,5156.25
1782422516449623400,1.45,42.96875,5156.25
1782422516459623400,1.46,42.96875,5156.25
1782422516469623400,1.47,42.96875,5156.25
1782422516479623400,1.48,42.96875,5156.25
1782422516489623400,1.49,42.96875,5156.25
1782422516499623400,1.5,42.96875,5156.25
1782422516509623400,1.51,42.96875,5156.25
1782422516519623400,1.52,42.96875,5156.25
1782422516529623400,1.53,42.96875,5156.25
1782422516539623400,1.54,42.94814377247846,5153.777252697415
1782422516549623400,1.55,42.64362684892317,5117.23522187078
1782422516559623400,1.56,42.33910992536788,5080.693191044145
1782422516569623400,1.57,42.03459300181259,5044.151160217511
1782422516579623400,1.58,41.7300760782573,5007.609129390876
1782422516589623400,1.59,41.42555915470201,4971.067098564241
1782422516599623400,1.6,41.12104223114672,4934.525067737606
1782422516609623400,1.61,40.81652530759143,4897.983036910971
1782422516619623400,1.62,40.512008384036136,4861.441006084337
1782422516629623400,1.63,40.20749146048085,4824.898975257703
1782422516639623400,1.64,39.90297453692556,4788.356944431068
1782422516649623400,1.65,39.59845761337027,4751.814913604433
1782422516659623400,1.66,39.29394068981498,4715.272882777798
1782422516669623400,1.67,39.0625,4687.5
1782422516679623400,1.68,39.0625,4687.5
1782422516689623400,1.69,39.0625,4687.5
1782422516699623400,1.7,39.0625,4687.5
1782422516709623400,1.71,39.0625,4687.5
1782422516719623400,1.72,39.0625,4687.5
1782422516729623400,1.73,39.0625,4687.5
1782422516739623400,1.74,39.0625,4687.5
1782422516749623400,1.75,39.0625,4687.5
1782422516759623400,1.76,39.0625,4687.5
1782422516769623400,1.77,39.0625,4687.5
1782422516779623400,1.78,39.0625,4687.5
1782422516789623400,1.79,39.0625,4687.5
1782422516799623400,1.8,38.81140752008185,4657.368902409822
1782422516809623400,1.81,38.20237367297127,4584.2848407565525
1782422516819623400,1.82,37.59333982586069,4511.200779103283
1782422516829623400,1.83,36.98430597875011,4438.116717450012
1782422516839623400,1.84,36.37527213163953,4365.032655796743
1782422516849623400,1.85,35.766238284528946,4291.948594143473
1782422516859623400,1.86,35.157204437418365,4218.864532490204
1782422516869623400,1.87,34.548170590307784,4145.780470836934
1782422516879623400,1.88,33.939136743197224,4072.6964091836667
1782422516889623400,1.89,33.33010289608664,3999.612347530397
1782422516899623400,1.9,32.72106904897606,3926.5282858771275
1782422516909623400,1.91,32.11203520186548,3853.444224223858
1782422516919623400,1.92,31.5030013547549,3780.3601625705883
1782422516929623400,1.93,31.25,3750.0
1782422516939623400,1.94,31.25,3750.0
1782422516949623400,1.95,31.25,3750.0
1782422516959623400,1.96,31.25,3750.0
1782422516969623400,1.97,31.25,3750.0
1782422516979623400,1.98,31.25,3750.0
1782422516989623400,1.99,31.25,3750.0
1782422516999623400,2.0,31.25,3750.0
1782422517009623400,2.01,31.25,3750.0
1782422517019623400,2.02,31.25,3750.0
1782422517029623400,2.03,31.25,3750.0
1782422517039623400,2.04,31.25,3750.0
1782422517049623399,2.05,31.25,3750.0
1782422517059623400,2.06,31.71097250479322,3805.316700575186
1782422517069623399,2.07,32.320006351903785,3878.4007622284544
1782422517079623400,2.08,32.92904019901438,3951.4848238817253
1782422517089623399,2.09,33.53807404612495,4024.5688855349936
1782422517099623400,2.1,34.14710789323554,4097.652947188265
1782422517109623399,2.11,34.75614174034611,4170.737008841533
1782422517119623400,2.12,35.3651755874567,4243.821070494804
1782422517129623400,2.13,35.974209434567264,4316.905132148072
1782422517139623400,2.14,36.58324328167786,4389.989193801343
1782422517149623400,2.15,37.192277128788426,4463.073255454611
1782422517159623400,2.16,37.80131097589902,4536.157317107883
1782422517169623400,2.17,38.41034482300959,4609.24137876115
