t,seconds_elapsed,E,N,lat,lon,speed,heading_deg,yaw_rate
1782422514999623400,0.0,-0.2255197811185449,0.969110317304783,38.648704081318634,-90.13543269721238,0.8629621166953916,-96.20034674543258,0.04293186891362796
1782422515009623400,0.01,-0.22955884854112155,0.9319321654077474,38.648703746967485,-90.13543274372284,0.8747976575538217,-96.45547706854256,-0.03430867579958868
1782422515019623400,0.02,-0.23392219691713798,0.8948502571833136,38.64870341348187,-90.13543279396745,0.8866331984122517,-96.96594310875801,0.0073487712452235685
1782422515029623400,0.03,-0.23860858185185044,0.8578640563688609,38.648703080856976,-90.13543284793187,0.8984687392706819,-97.47593929167834,0.05980121281057912
1782422515039623400,0.04,-0.24361675895051518,0.8209730267017677,38.648702749087974,-90.13543290560177,0.910304280129112,-97.98536713834426,-0.0073297110447055665
1782422515049623400,0.05,-0.24894548381838838,0.7841766319194132,38.648702418170046,-90.13543296696284,0.9221398209875421,-98.49412864416166,-0.08094827445624217
1782422515059623400,0.06,-0.25459351206072606,0.747474335759175,38.64870208809837,-90.13543303200073,0.9339753618459722,-99.00212638240882,-0.023127455801807584
1782422515069623400,0.07,-0.26055959928278455,0.7108656019584321,38.648701758868114,-90.13543310070112,0.9458109027044023,-99.50926360618156,-0.03190094828433841
1782422515079623400,0.08,-0.26684250108982,0.6743498942545635,38.64870143047447,-90.13543317304968,0.9576464435628325,-100.01544434851067,-0.10681872882494206
1782422515089623400,0.09,-0.27344097308708853,0.6379266763849475,38.6487011029126,-90.13543324903206,0.9694819844212625,-100.52057352039968,-0.10984706008576835
1782422515099623400,0.1,-0.28035377087984653,0.6015954120869629,38.64870077617769,-90.13543332863397,0.9813175252796926,-101.02455700653213,-0.034563634442531944
1782422515109623400,0.11,-0.2875796500733497,0.5653555650979878,38.64870045026491,-90.13543341184103,0.9931530661381227,-101.52730175841928,-0.060332971403291594
